127.0.0.1 - - [08/Jul/2024:21:46:45 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Jul/2024:21:46:48 +0530] "GET /SMEVCS/ HTTP/1.1" 200 8659
0:0:0:0:0:0:0:1 - - [08/Jul/2024:21:46:48 +0530] "GET /SMEVCS/assets/vendor/aos/aos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2024:21:46:48 +0530] "GET /SMEVCS/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2024:21:46:48 +0530] "GET /SMEVCS/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2024:21:46:48 +0530] "GET /SMEVCS/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2024:21:46:48 +0530] "GET /SMEVCS/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2024:21:46:48 +0530] "GET /SMEVCS/assets/vendor/remixicon/remixicon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2024:21:46:48 +0530] "GET /SMEVCS/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2024:21:46:48 +0530] "GET /SMEVCS/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2024:21:46:48 +0530] "GET /SMEVCS/assets/vendor/purecounter/purecounter.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2024:21:46:48 +0530] "GET /SMEVCS/assets/img/hero-img.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2024:21:46:48 +0530] "GET /SMEVCS/assets/vendor/aos/aos.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2024:21:46:48 +0530] "GET /SMEVCS/assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2024:21:46:48 +0530] "GET /SMEVCS/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2024:21:46:48 +0530] "GET /SMEVCS/assets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2024:21:46:48 +0530] "GET /SMEVCS/assets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2024:21:46:48 +0530] "GET /SMEVCS/assets/img/about.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2024:21:46:48 +0530] "GET /SMEVCS/assets/img/hero-bg.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [08/Jul/2024:21:46:48 +0530] "GET /SMEVCS/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?a74547b2f0863226942ff8ded57db345 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2024:21:46:48 +0530] "GET /SMEVCS/assets/vendor/boxicons/fonts/boxicons.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2024:21:46:49 +0530] "GET /SMEVCS/assets/img/apple-touch-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2024:21:47:16 +0530] "GET /SMEVCS/UserLogin.jsp HTTP/1.1" 200 5560
