127.0.0.1 - - [18/Sep/2024:10:13:45 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:13:46 +0530] "GET /SMEVCSnew/UserBooking.jsp HTTP/1.1" 200 5707
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:13:46 +0530] "GET /SMEVCSnew/assets/vendor/aos/aos.css HTTP/1.1" 200 26053
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:13:46 +0530] "GET /SMEVCSnew/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13785
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:13:46 +0530] "GET /SMEVCSnew/assets/vendor/remixicon/remixicon.css HTTP/1.1" 200 110438
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:13:46 +0530] "GET /SMEVCSnew/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 163873
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:13:46 +0530] "GET /SMEVCSnew/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 73271
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:13:46 +0530] "GET /SMEVCSnew/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 200 63781
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:13:46 +0530] "GET /SMEVCSnew/assets/css/style.css HTTP/1.1" 200 40923
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:13:46 +0530] "GET /SMEVCSnew/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 15563
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:13:46 +0530] "GET /SMEVCSnew/assets/vendor/purecounter/purecounter.js HTTP/1.1" 200 4958
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:13:46 +0530] "GET /SMEVCSnew/assets/vendor/aos/aos.js HTTP/1.1" 200 14690
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:13:46 +0530] "GET /SMEVCSnew/assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78129
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:13:46 +0530] "GET /SMEVCSnew/assets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 200 56222
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:13:46 +0530] "GET /SMEVCSnew/assets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 200 135617
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:13:46 +0530] "GET /SMEVCSnew/assets/js/main.js HTTP/1.1" 200 4841
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:13:46 +0530] "GET /SMEVCSnew/assets/img/hero-bg.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:13:46 +0530] "GET /SMEVCSnew/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?a74547b2f0863226942ff8ded57db345 HTTP/1.1" 200 92004
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:13:47 +0530] "GET /SMEVCSnew/assets/img/apple-touch-icon.png HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:13:50 +0530] "GET /SMEVCSnew/Pay.jsp HTTP/1.1" 200 5823
